,unique_ID,Comp,GA90,Save_percent,CS_percent,_per_90_Expected,Cmp_percent_Launched,Stp_percent_Crosses,#OPA_per_90_Sweeper
208,Anthony Lopes_2020_Lyon,Ligue 1,0.96,73.3,30.8,0.03,43.7,3.5,0.77
209,Yann Sommer_2020_M'Gladbach,Bundesliga,1.18,75.3,20.6,0.22,43.1,2.6,1.44
210,Florian Muller_2020_Mainz 05,Bundesliga,2,65.2,16.7,-0.22,34.6,6.3,1.44
211,Robin Zentner_2020_Mainz 05,Bundesliga,1.86,66.1,13.6,-0.11,33.2,5.8,0.79
212,Manolo Reina_2020_Mallorca,La Liga,1.67,74.3,13.9,0.05,37.4,5,0.78
213,Ederson_2020_Manchester City,Premier League,0.82,73.7,45.7,0.08,40.4,5.4,1.85
214,David de Gea_2020_Manchester Utd,Premier League,0.95,74.8,34.2,-0.01,31.7,2,0.58
215,Steve Mandanda_2020_Marseille,Ligue 1,1.02,75,40.7,0.19,32.1,6.6,0.8
216,Alexandre Oukidja_2020_Metz,Ligue 1,1.17,78.3,29.6,-0.02,31.4,6.8,1.17
217,Gianluigi Donnarumma_2020_Milan,Serie A,1.18,73,33.3,-0.04,43.6,5.7,1.04
218,Benjamin Lecomte_2020_Monaco,Ligue 1,1.57,71.6,25,-0.01,43.3,5.1,1.39
219,Geronimo Rulli_2020_Montpellier,Ligue 1,1.08,79.8,32,0.1,51.8,4.4,1
220,Alban Lafont_2020_Nantes,Ligue 1,1.07,72.6,37,-0.05,32.5,2.4,1.15
221,Alex Meret_2020_Napoli,Serie A,1.52,66.7,14.3,-0.2,30.1,1.7,0.69
222,David Ospina_2020_Napoli,Serie A,1.04,72.2,23.5,-0.13,44.2,6,1.04
223,Martin Dubravka_2020_Newcastle Utd,Premier League,1.53,71.3,28.9,0.18,38.4,3.1,0.68
224,Walter Benitez_2020_Nice,Ligue 1,1.38,75.4,15.4,0.27,34.7,2.6,0.65
225,Tim Krul_2020_Norwich City,Premier League,1.89,66.7,13.9,-0.12,28.3,4.4,0.64
226,Paul Bernardoni_2020_Nimes,Ligue 1,1.55,68.5,24,-0.26,34.3,4.2,1.06
227,Sergio Herrera_2020_Osasuna,La Liga,1.47,67.5,38.9,0.02,32.9,6.8,1.69
228,Ruben_2020_Osasuna,La Liga,1.36,61.1,22.2,-0.16,34.9,2.2,0.74
229,Jannik Huth_2020_Paderborn 07,Bundesliga,2.83,51.5,0,-0.81,38.9,1.4,0.83
230,Leopold Zingerle_2020_Paderborn 07,Bundesliga,2.04,64.5,17.9,-0.23,46,2,0.79
231,Keylor Navas_2020_Paris S-G,Ligue 1,0.86,72.7,52.4,0.02,38.5,1.6,0.38
232,Luigi Sepe_2020_Parma,Serie A,1.56,75.6,14.7,0.05,47.8,3.2,0.29
233,Peter Gulacsi_2020_RB Leipzig,Bundesliga,1.06,72.4,31.3,0.08,35.1,4.5,2.13
234,Thibaut Courtois_2020_Real Madrid,La Liga,0.59,79.2,52.9,0.2,27.1,5.2,0.97
235,Miguel Angel Moya_2020_Real Sociedad,La Liga,1.23,68.6,23.1,0.03,51.3,4.7,1.77
236,Alex Remiro_2020_Real Sociedad,La Liga,1.28,73.1,24,-0.08,39.6,2,1.68
237,Predrag Rajkovic_2020_Reims,Ligue 1,0.67,80.5,44.4,0.26,32.5,6.8,0.74
