"","unique_ID","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
"69","Marcus Bettinelli_2019",2019,"Fulham","Premier League","Marcus Bettinelli","ENG","GK","26",1992,7,20,1,0,1,0,17.5,0.39,-2.5,-0.36,64,143,44.8,176,32,49.4,37.3,67,83.6,53.9,129,1,0.8,11,1.57,16,"https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli"
"70","Fabricio_2019",2019,"Fulham","Premier League","Fabricio","ESP","GK","30",1987,2,5,0,1,0,0,4.3,0.21,-0.7,-0.36,16,28,57.1,47,14,40.4,35.4,14,64.3,44,29,2,6.9,3,1.5,13.6,"https://fbref.com/en/players/af245161/Fabricio"
"71","Sergio Rico_2019",2019,"Fulham","Premier League","Sergio Rico","ESP","GK","24",1993,29,56,4,0,9,2,50.6,0.29,-3.4,-0.12,252,606,41.6,611,91,61.4,41.9,275,84,55.6,471,6,1.3,28,0.97,14.3,"https://fbref.com/en/players/5f0241b2/Sergio-Rico"
"72","Jandrei_2019",2019,"Genoa","Serie A","Jandrei","BRA","GK","25",1993,1,1,0,0,1,0,0.9,0.34,-0.1,-0.09,12,23,52.2,26,3,69.2,44.2,6,83.3,54,10,0,0,1,1,25,"https://fbref.com/en/players/85ea4399/Jandrei"
"73","Federico Marchetti_2019",2019,"Genoa","Serie A","Federico Marchetti","ITA","GK","35",1983,4,10,0,0,1,1,7.4,0.43,-1.6,-0.39,25,51,49,80,11,40,35.3,34,55.9,46.7,58,0,0,6,1.5,22.1,"https://fbref.com/en/players/f794b426/Federico-Marchetti"
"74","Ionuț Radu_2019",2019,"Genoa","Serie A","Ionuț Radu","ROU","GK","21",1997,33,46,5,0,7,1,45.2,0.27,0.2,0.01,242,698,34.7,661,100,64.8,46.7,294,91.8,61.7,522,14,2.7,14,0.42,11.6,"https://fbref.com/en/players/67f649be/Ionut-Radu"
"75","Leandro Chichizola_2019",2019,"Getafe","La Liga","Leandro Chichizola","ARG","GK","28",1990,1,1,0,0,0,0,0.5,0.54,-0.5,-0.46,8,22,36.4,24,3,79.2,50.3,3,100,71.3,7,0,0,0,0,15.5,"https://fbref.com/en/players/8d957256/Leandro-Chichizola"
"76","David Soria_2019",2019,"Getafe","La Liga","David Soria","ESP","GK","25",1993,37,34,4,1,2,2,39.5,0.26,7.5,0.2,351,941,37.3,808,49,83.7,51.7,279,95,59.2,468,20,4.3,38,1.03,13.8,"https://fbref.com/en/players/8f8c6934/David-Soria"
"77","Yassine Bounou_2019",2019,"Girona","La Liga","Yassine Bounou","MAR","GK","27",1991,31.8,43,6,2,5,1,49.7,0.27,7.7,0.24,182,471,38.6,718,133,40.7,37.1,264,67.8,49.5,439,15,3.4,19,0.6,13.1,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
"78","Gorka Iraizoz_2019",2019,"Girona","La Liga","Gorka Iraizoz","ESP","GK","37",1981,6.2,10,2,0,1,1,11.1,0.26,2.1,0.33,40,106,37.7,167,44,41.9,38.2,64,56.3,43.8,113,4,3.5,3,0.48,9.6,"https://fbref.com/en/players/26f2473f/Gorka-Iraizoz"
