Name,Year,Club,unique_ID,Role,Name_Year
Jeff Reine-Adelaide,2021,Nice,Jeff Reine-Adelaide_2021_Nice,attacking-midfield,Jeff Reine-Adelaide_2021
Jesper Lindstrom,2022,Eint Frankfurt,Jesper Lindstrom_2022_Eint Frankfurt,attacking-midfield,Jesper Lindstrom_2022
Jesper Lindstrom,2023,Eint Frankfurt,Jesper Lindstrom_2023_Eint Frankfurt,attacking-midfield,Jesper Lindstrom_2023
Jesse Lingard,2019,Manchester Utd,Jesse Lingard_2019_Manchester Utd,attacking-midfield,Jesse Lingard_2019
Jesse Lingard,2020,Manchester Utd,Jesse Lingard_2020_Manchester Utd,attacking-midfield,Jesse Lingard_2020
Jesse Lingard,2021,West Ham,Jesse Lingard_2021_West Ham,attacking-midfield,Jesse Lingard_2021
Joelinton,2020,Newcastle Utd,Joelinton_2020_Newcastle Utd,attacking-midfield,Joelinton_2020
Joelinton,2021,Newcastle Utd,Joelinton_2021_Newcastle Utd,attacking-midfield,Joelinton_2021
Joelinton,2022,Newcastle Utd,Joelinton_2022_Newcastle Utd,attacking-midfield,Joelinton_2022
Joelinton,2023,Newcastle Utd,Joelinton_2023_Newcastle Utd,attacking-midfield,Joelinton_2023
Josip Ilicic,2019,Atalanta,Josip Ilicic_2019_Atalanta,attacking-midfield,Josip Ilicic_2019
Josip Ilicic,2020,Atalanta,Josip Ilicic_2020_Atalanta,attacking-midfield,Josip Ilicic_2020
Josip Ilicic,2021,Atalanta,Josip Ilicic_2021_Atalanta,attacking-midfield,Josip Ilicic_2021
Josip Ilicic,2022,Atalanta,Josip Ilicic_2022_Atalanta,attacking-midfield,Josip Ilicic_2022
Juan Mata,2019,Manchester Utd,Juan Mata_2019_Manchester Utd,attacking-midfield,Juan Mata_2019
Juan Mata,2020,Manchester Utd,Juan Mata_2020_Manchester Utd,attacking-midfield,Juan Mata_2020
Juan Mata,2021,Manchester Utd,Juan Mata_2021_Manchester Utd,attacking-midfield,Juan Mata_2021
Julian Brandt,2020,Dortmund,Julian Brandt_2020_Dortmund,attacking-midfield,Julian Brandt_2020
Julian Brandt,2021,Dortmund,Julian Brandt_2021_Dortmund,attacking-midfield,Julian Brandt_2021
Julian Brandt,2022,Dortmund,Julian Brandt_2022_Dortmund,attacking-midfield,Julian Brandt_2022
Julian Brandt,2023,Dortmund,Julian Brandt_2023_Dortmund,attacking-midfield,Julian Brandt_2023
Julien Ponceau,2023,Lorient,Julien Ponceau_2023_Lorient,attacking-midfield,Julien Ponceau_2023
Kai Havertz,2019,Leverkusen,Kai Havertz_2019_Leverkusen,attacking-midfield,Kai Havertz_2019
Kai Havertz,2020,Leverkusen,Kai Havertz_2020_Leverkusen,attacking-midfield,Kai Havertz_2020
Kai Havertz,2021,Chelsea,Kai Havertz_2021_Chelsea,attacking-midfield,Kai Havertz_2021
Kai Havertz,2022,Chelsea,Kai Havertz_2022_Chelsea,attacking-midfield,Kai Havertz_2022
Kai Havertz,2023,Chelsea,Kai Havertz_2023_Chelsea,attacking-midfield,Kai Havertz_2023
Kamory Doumbia,2023,Reims,Kamory Doumbia_2023_Reims,attacking-midfield,Kamory Doumbia_2023
Kevin Agudelo,2021,Spezia,Kevin Agudelo_2021_Spezia,attacking-midfield,Kevin Agudelo_2021
Kevin Agudelo,2022,Spezia,Kevin Agudelo_2022_Spezia,attacking-midfield,Kevin Agudelo_2022
Kevin Agudelo,2023,Spezia,Kevin Agudelo_2023_Spezia,attacking-midfield,Kevin Agudelo_2023
Kevin De Bruyne,2019,Manchester City,Kevin De Bruyne_2019_Manchester City,attacking-midfield,Kevin De Bruyne_2019
Kevin De Bruyne,2020,Manchester City,Kevin De Bruyne_2020_Manchester City,attacking-midfield,Kevin De Bruyne_2020
Kevin De Bruyne,2021,Manchester City,Kevin De Bruyne_2021_Manchester City,attacking-midfield,Kevin De Bruyne_2021
Kevin De Bruyne,2022,Manchester City,Kevin De Bruyne_2022_Manchester City,attacking-midfield,Kevin De Bruyne_2022
Kevin De Bruyne,2023,Manchester City,Kevin De Bruyne_2023_Manchester City,attacking-midfield,Kevin De Bruyne_2023
Kevin Stoger,2023,Bochum,Kevin Stoger_2023_Bochum,attacking-midfield,Kevin Stoger_2023
Kevin-Prince Boateng,2022,Hertha BSC,Kevin-Prince Boateng_2022_Hertha BSC,attacking-midfield,Kevin-Prince Boateng_2022
Kristian Thorstvedt,2023,Sassuolo,Kristian Thorstvedt_2023_Sassuolo,attacking-midfield,Kristian Thorstvedt_2023
Lazar Samardzic,2023,Udinese,Lazar Samardzic_2023_Udinese,attacking-midfield,Lazar Samardzic_2023
Leonardo Bittencourt,2019,Hoffenheim,Leonardo Bittencourt_2019_Hoffenheim,attacking-midfield,Leonardo Bittencourt_2019
Leonardo Bittencourt,2020,Werder Bremen,Leonardo Bittencourt_2020_Werder Bremen,attacking-midfield,Leonardo Bittencourt_2020
Leonardo Bittencourt,2021,Werder Bremen,Leonardo Bittencourt_2021_Werder Bremen,attacking-midfield,Leonardo Bittencourt_2021
Leonardo Bittencourt,2023,Werder Bremen,Leonardo Bittencourt_2023_Werder Bremen,attacking-midfield,Leonardo Bittencourt_2023
Lorenzo Pellegrini,2019,Roma,Lorenzo Pellegrini_2019_Roma,attacking-midfield,Lorenzo Pellegrini_2019
Lorenzo Pellegrini,2020,Roma,Lorenzo Pellegrini_2020_Roma,attacking-midfield,Lorenzo Pellegrini_2020
Lorenzo Pellegrini,2021,Roma,Lorenzo Pellegrini_2021_Roma,attacking-midfield,Lorenzo Pellegrini_2021
Lorenzo Pellegrini,2022,Roma,Lorenzo Pellegrini_2022_Roma,attacking-midfield,Lorenzo Pellegrini_2022
Lorenzo Pellegrini,2023,Roma,Lorenzo Pellegrini_2023_Roma,attacking-midfield,Lorenzo Pellegrini_2023
Lucas Castro,2019,Cagliari,Lucas Castro_2019_Cagliari,attacking-midfield,Lucas Castro_2019
